p,d,q,P,D,Q,s,AIC,converged
0,0,0,1,0,1,24,33425.089814292034,False
0,0,1,1,0,1,24,32981.950307101084,False
0,0,2,1,0,1,24,32649.554803825853,False
0,0,3,1,0,1,24,32543.688823466753,False
0,0,4,1,0,1,24,32739.75073146988,True
0,0,5,1,0,1,24,32465.655518924388,False
0,0,6,1,0,1,24,32444.684731570153,False
0,1,0,1,0,1,24,33507.77976774689,True
0,1,1,1,0,1,24,32735.8128966124,True
0,1,2,1,0,1,24,32715.27132819957,True
0,1,3,1,0,1,24,32596.573946514953,False
0,1,4,1,0,1,24,32575.97977610033,False
0,1,5,1,0,1,24,32534.77145590266,False
0,1,6,1,0,1,24,32493.670324249913,False
0,2,0,1,0,1,24,36527.880549792644,True
0,2,1,1,0,1,24,33501.47335016605,False
0,2,2,1,0,1,24,32973.24384600611,False
0,2,3,1,0,1,24,33081.28436951243,False
0,2,4,1,0,1,24,33001.29577299923,True
0,2,5,1,0,1,24,32913.91778128124,True
0,2,6,1,0,1,24,32874.64355239721,False
1,0,0,1,0,1,24,32657.729278410832,True
1,0,1,1,0,1,24,32574.012967130802,False
1,0,2,1,0,1,24,32555.68909326502,False
1,0,3,1,0,1,24,32636.719353554177,False
1,0,4,1,0,1,24,32663.234040906627,False
1,0,5,1,0,1,24,32619.721379509814,False
1,0,6,1,0,1,24,32593.91489950757,True
1,1,0,1,0,1,24,32905.495391461416,True
1,1,1,1,0,1,24,32703.5894401371,True
1,1,2,1,0,1,24,32564.604644800955,False
1,1,3,1,0,1,24,32627.203907891875,False
1,1,4,1,0,1,24,32563.4162953986,False
1,1,5,1,0,1,24,32557.56370271244,False
1,1,6,1,0,1,24,32498.07661955603,False
1,2,0,1,0,1,24,34816.72506902508,True
1,2,1,1,0,1,24,33115.15921220963,False
1,2,2,1,0,1,24,33009.34528562911,False
1,2,3,1,0,1,24,32861.816510836186,False
1,2,4,1,0,1,24,32900.772544674765,False
1,2,5,1,0,1,24,32927.37362928121,True
1,2,6,1,0,1,24,32857.44851452687,True
2,0,0,1,0,1,24,32479.335809502605,False
2,0,1,1,0,1,24,32485.515740446936,False
2,0,2,1,0,1,24,32708.981469374085,False
2,0,3,1,0,1,24,32671.070266972725,False
2,0,4,1,0,1,24,32660.946242320584,True
2,0,5,1,0,1,24,32618.736640156494,False
2,0,6,1,0,1,24,32568.476057873515,False
2,1,0,1,0,1,24,32826.70364266037,True
2,1,1,1,0,1,24,32564.52772477396,True
2,1,2,1,0,1,24,32572.237163086626,False
2,1,3,1,0,1,24,32570.042827244273,False
2,1,4,1,0,1,24,32533.66755913986,False
2,1,5,1,0,1,24,32657.173105933216,False
2,1,6,1,0,1,24,32488.660003638633,False
2,2,0,1,0,1,24,34187.898391528135,True
2,2,1,1,0,1,24,33092.38518169454,False
2,2,2,1,0,1,24,32995.79095358944,False
2,2,3,1,0,1,24,32816.22763413751,False
2,2,4,1,0,1,24,32804.26117541694,False
2,2,5,1,0,1,24,32816.17199683146,False
2,2,6,1,0,1,24,32925.354335477896,True
3,0,0,1,0,1,24,32481.004725934647,False
3,0,1,1,0,1,24,32669.25664408572,False
3,0,2,1,0,1,24,32664.697037353057,True
3,0,3,1,0,1,24,32658.843370067916,False
3,0,4,1,0,1,24,32638.54808941559,False
3,0,5,1,0,1,24,32610.446171475938,False
3,0,6,1,0,1,24,32576.45293795466,False
3,1,0,1,0,1,24,32782.047737133296,True
3,1,1,1,0,1,24,32558.162690434743,True
3,1,2,1,0,1,24,32539.701564829076,False
3,1,3,1,0,1,24,32528.228251251967,False
3,1,4,1,0,1,24,32515.864894530147,False
3,1,5,1,0,1,24,32752.099135222907,False
3,1,6,1,0,1,24,32480.750580779335,False
3,2,0,1,0,1,24,33886.73552763203,True
3,2,1,1,0,1,24,33064.51388385379,False
3,2,2,1,0,1,24,32967.56357733221,False
3,2,3,1,0,1,24,32915.42106333637,False
3,2,4,1,0,1,24,32979.9514087699,False
3,2,5,1,0,1,24,32774.93305970042,False
3,2,6,1,0,1,24,32805.88973128809,False
4,0,0,1,0,1,24,32461.644412392478,False
4,0,1,1,0,1,24,32662.78191945277,False
4,0,2,1,0,1,24,32693.631437738957,False
4,0,3,1,0,1,24,32669.1810957365,False
4,0,4,1,0,1,24,32607.877478182512,False
4,0,5,1,0,1,24,32579.17401525849,False
4,0,6,1,0,1,24,32590.41960975904,False
4,1,0,1,0,1,24,32732.44468484285,True
4,1,1,1,0,1,24,32541.76861335061,True
4,1,2,1,0,1,24,32530.82894345931,False
