p,d,q,P,D,Q,s,AIC,converged
4,1,3,1,0,1,24,32528.73102750229,False
4,1,4,1,0,1,24,32521.532923033927,False
4,1,5,1,0,1,24,32725.47053865169,False
4,1,6,1,0,1,24,32482.085316931203,False
4,2,0,1,0,1,24,33651.19022684067,True
4,2,1,1,0,1,24,32963.06875011076,False
4,2,2,1,0,1,24,32910.702472347155,False
4,2,3,1,0,1,24,32879.87651167795,False
4,2,4,1,0,1,24,32845.12911200784,False
4,2,5,1,0,1,24,33067.47205045882,False
4,2,6,1,0,1,24,32807.52263970253,False
5,0,0,1,0,1,24,32624.663927631278,False
5,0,1,1,0,1,24,32652.70574212986,False
5,0,2,1,0,1,24,32636.97456442919,False
5,0,3,1,0,1,24,32618.255389537822,True
5,0,4,1,0,1,24,32666.10794993597,False
5,0,5,1,0,1,24,32664.569156304755,False
5,0,6,1,0,1,24,32596.530525548893,False
5,1,0,1,0,1,24,32695.96243915143,False
5,1,1,1,0,1,24,32525.62513168726,False
5,1,2,1,0,1,24,32519.89537890465,False
5,1,3,1,0,1,24,32525.456967663256,False
5,1,4,1,0,1,24,32728.50421200243,False
5,1,5,1,0,1,24,32746.926516640455,False
5,1,6,1,0,1,24,32478.185366314952,False
5,2,0,1,0,1,24,33494.12470170929,False
5,2,1,1,0,1,24,32899.47558678141,False
5,2,2,1,0,1,24,32898.86450179519,False
5,2,3,1,0,1,24,32840.05866456291,False
5,2,4,1,0,1,24,32833.42684423168,False
5,2,5,1,0,1,24,32851.56164857875,False
5,2,6,1,0,1,24,32966.307978435376,False
6,0,0,1,0,1,24,32649.800777715565,False
6,0,1,1,0,1,24,32648.84132536078,False
6,0,2,1,0,1,24,32613.789655845907,False
6,0,3,1,0,1,24,32660.756593025224,False
6,0,4,1,0,1,24,32691.051946869888,False
6,0,5,1,0,1,24,32609.82902664184,False
6,0,6,1,0,1,24,32572.87027358572,False
6,1,0,1,0,1,24,32661.047432487256,False
6,1,1,1,0,1,24,32510.229686329487,False
6,1,2,1,0,1,24,32512.30201458234,False
6,1,3,1,0,1,24,32702.007563932944,False
6,1,4,1,0,1,24,32706.820406564773,False
6,1,5,1,0,1,24,32668.618026782242,False
6,1,6,1,0,1,24,32494.75540427728,False
6,2,0,1,0,1,24,33352.97460090871,False
6,2,1,1,0,1,24,32860.59916512205,False
6,2,2,1,0,1,24,32907.72412418766,False
6,2,3,1,0,1,24,32810.25679404012,False
6,2,4,1,0,1,24,32789.86822621034,False
6,2,5,1,0,1,24,32987.09230946678,False
6,2,6,1,0,1,24,32819.75003831818,False
