model,MAE,RMSE,MASE,Bias
xgboost_operational,42.98749256134033,64.80167390195811,0.8046509430768672,9.141470288473462
sarimax_conditional,44.83160794242426,68.90043743237842,0.8391695691263945,-5.333179166918132
xgboost_conditional,51.781083776837306,73.26794294013995,0.9692516453505677,21.926457863005382
mean,50.319095845289134,74.9057320022781,0.9418857791929033,-3.1088025652599205
weekly_seasonal_naive,42.63392857142857,79.29026483676037,0.7980328413693866,-10.818452380952381
chronos_t5_small,41.163536143681355,80.19340600072904,0.7705096576900501,-33.69851747770158
daily_seasonal_naive,86.95932539682539,129.23203031265183,1.6277270205988035,64.01289682539682
naive,250.6398809523809,258.81973857632954,4.691541761670009,247.7628968253968
drift,266.37295305016687,274.6111124071479,4.986037452083107,264.5006776132961
