model,MAE,RMSE,MASE,Bias
xgboost_conditional,52.974559466044106,71.69208994703004,1.0029697304226064,-1.7298000123765729
xgboost_operational,50.18261565102472,82.86800630470333,0.9501097318925579,-39.556092527177604
sarimax_conditional,60.7407651046322,88.89217736460127,1.1500076530453331,-21.361067595159284
chronos_t5_small,57.49402141571045,102.04955919215477,1.088536907931984,-55.281592792934845
mean,74.5138888888889,107.63088628581013,1.4107748286143478,-42.60108355446692
daily_seasonal_naive,63.680555555555564,113.64082061966603,1.2056668386200902,4.652777777777774
weekly_seasonal_naive,74.30555555555556,117.97284684448618,1.406830444191381,-71.52777777777777
naive,111.7361111111111,124.03283242157504,2.1155048455176932,74.93055555555556
drift,111.97296664965118,124.26174910939233,2.119989242141905,75.54311298281436
